codigo,nombre,Tipo_persona,nacionalidad,sexo biológico,fecha n,fecha m,profesiones-wikidata,Profesiones-otrasfuentes,Descripciones-url-datos,numero_revista,nombre_articulo,pagina,Naturaleza del artículo,ESTILO PRINCIPAL / INTENCIONALIDAD,GÉNERO,ESPECIE / SUBGÉNERO,Ilustraciones/Fotografías (Sí/No),Número de imágenes,Tipo_firma,grado,codigo_revista,dc.title,dc.contributor.editor,dc.date.issued,dc.publisher,dc.description.abstract
A181,Abraham Dreyfus,Nombre real,Francia,m,21-06-1847,1926-11-07 0:00:00,"Periodista, Escritor, Dramaturgo",,,R36,La subasta de Susana,17-19,Republicación,Literario (Discurso centrado en la creación estética y la ficción),Narrativo,Cuento,Sí,1,Con su nombre real,1,R36,"Prisma: revista ilustrada, de artes, letras, etc. (Año III, n.° 34)","Palma, Clemente, 1872-1946, dir.",16/03/1907,Lima: [s. n.],"Presenta un ensayo sobre las políticas y estrategias educacionales llevadas a cabo por el Estado peruano donde destaca la contratación de maestros extranjeros y el envío de estudiantes peruanos a Europa. Registra la construcción de la defensa del puerto del Callao en el siglo XVII y XVIII. Expone fotografías de los balnearios del Callao. Aborda el americanismo del que sostiene que mientras más americana es una obra artística menos artística e interesante resulta debido a su falta de emoción estética y a su profuso regionalismo. Describe impresiones de viaje al Sacsahuamán en Cusco. Recoge un poema de Rubén Darío, publica la continuación de la novela Mi tío Barbassou de Mario Uchard."
A28,Adolfo Brisson,Nombre real,Francia,m,17-04-1860,,"Periodista, Escritor",,,R3,Eliseo Reclus,21-23,Republicación,Periodístico (Discurso centrado en la actualidad y el registro de la realidad),Crónica,Crónica literaria,No,0,Con su nombre real,1,R3,"Prisma: revista ilustrada, de artes, letras, etc. (Año I, n.° 2)","Hernández, Julio S, 1853-1906, dir.",1/10/1905,Lima: [s. n.],"Presenta biografías de personajes ilustres como Francisco Antonio de Zela, Hernán Velarde, Lorenzo de las Llamosas y José Mateo Aguilar. Dedica varios artículos al centenario de Don Quijote de la Mancha, presenta fotografías del cortejo funebre del político Francisco García Calderón."
A251,Adolfo Poleró Escamilla,Nombre real,Argentina,m,,,,,,R66,El literato falsificado,12,Republicación,Periodístico (Discurso centrado en la actualidad y el registro de la realidad),Retrato Periodístico,Semblanza,No,0,Con su nombre real,1,R66,"Prisma: revista ilustrada, de artes, letras, etc. (Año III, n.° 64)","Palma, Clemente, 1872-1946, dir.",9/11/1907,Lima: [s. n.],"Aparece en este ejemplar un cuento titulado “El quinto evangelio”, que corresponde a Cuentos Malévolos de Clemente Palma, cuyo argumento se centra en la visita del diablo a Jesús durante su agonía en la cruz para atormentarlo con burlas sobre la inutilidad de su sacrificio. Recoge cuentos, poemas y relatos de varios autores, presenta fotografías de eventos sociales y personajes de la política y la alta sociedad peruana, publica la continuación de la novela Mi tío Barbassou del autor Mario Uchard."
A64,Alfonso Daudet,Nombre real,Francia,m,13-06-1840,16-12-1897,"Escritor, dramaturgo, poeta, novelista, autobiógrafo, guionista, prosista, escritor de cuentos",,,R10,La viuda de un grande hombre,6-7,Republicación,Literario (Discurso centrado en la creación estética y la ficción),Narrativo,Cuento,Sí,5,Con su nombre real,1,R10,"Prisma: revista ilustrada, de artes, letras, etc. (Año II, n.° 8)","Hernández, Julio S, 1853-1906, dir.",16/02/1906,Lima: [s. n.],"Presenta fotografías de monumentos conmemorativos del 2 de Mayo en los países de Bolivia, Chile, Ecuador y Perú. Contiene fragmentos del poema La leyenda del Caucho de Carlos G. Amézaga. Destaca en la segunda entrega del ensayo de Raimundo Morales sobre lo pintoresco en la literatura peruana, el paisaje como elemento aprovechable para la creación literaria. Recoge relatos y poemas de diferentes autores como Felipe Pardo y Aliaga. Se reproduce parte de la tesis de José de la Riva Agüero sobre historia de la literatura peruana."
A64,Alfonso Daudet,Nombre real,Francia,m,13-06-1840,16-12-1897,"Escritor, dramaturgo, poeta, novelista, autobiógrafo, guionista, prosista, escritor de cuentos",,,R11,La bohemia en familia,6-7,Republicación,Periodístico (Discurso centrado en la actualidad y el registro de la realidad),Crónica,Crónica literaria,Sí,8,Con su nombre real,1,R11,"Prisma: revista ilustrada, de artes, letras, etc. (Año II, n.° 9)","Hernández, Julio S, 1853-1906, dir.",01/03/1906,Lima: [s. n.],"Presenta un artículo con fotografías sobre las regiones del oriente peruano recorridas por los ingenieros Cipriani y Kauffman y el marqués Médici de Marignano, como parte de la expedición para el establecimiento de vía férreas. Recoge relatos y poemas de diferente autores. Se reproduce parte de la tesis de José de la Riva Agüero sobre historia de la literatura peruana. Se reproduce parte de la tesis de José de la Riva Agüero sobre historia de la literatura peruana."
A64,Alfonso Daudet,Nombre real,Francia,m,13-06-1840,16-12-1897,"Escritor, dramaturgo, poeta, novelista, autobiógrafo, guionista, prosista, escritor de cuentos",,,R12,Un matrimonio de cantantes,6-7,Republicación,Literario (Discurso centrado en la creación estética y la ficción),Narrativo,Cuento,Sí,8,Con su nombre real,1,R12,"Prisma: revista ilustrada, de artes, letras, etc. (Año II, n.° 10)","Hernández, Julio S, 1853-1906, dir.",16/03/1906,Lima: [s. n.],"Presenta imágenes del proyecto arquitectónico del Teatro Nacional, del arquitecto J. E. Lattini, en diferentes ángulos: fachada frontal, corte longitudinal, corte transversal y fachada lateral. Analiza el panorama del teatro francés, que considera predominantemente social y de intereses. Contiene críticas literarias de los libros Abelardo de Eudofilo Álvarez y Un Conflicto de Emilio Castelar y Cobián. Presenta un artículo que describe impresiones de viaje a Londres. Recoge relatos y poemas de diferentes autores. Se reproduce parte de la tesis de José de la Riva Agüero sobre historia de la literatura peruana."
A64,Alfonso Daudet,Nombre real,Francia,m,13-06-1840,16-12-1897,"Escritor, dramaturgo, poeta, novelista, autobiógrafo, guionista, prosista, escritor de cuentos",,,R13,La transtiberina,14-16,Republicación,Periodístico (Discurso centrado en la actualidad y el registro de la realidad),Crónica,Crónica literaria,Sí,9,Con su nombre real,1,R13,"Prisma: revista ilustrada, de artes, letras, etc. (Año II, n.° 11)","Hernández, Julio S, 1853-1906, dir.",01/04/1906,Lima: [s. n.],"Presenta artículos sobre Santo Toribio de Mogrovejo . Recoge una tradición de Ricardo Palma sobre Santa Rosa de Lima y Santo Toribio, presenta varios poemas y relatos, entre ellos los de Felipe Pardo y Aliaga, Santiago Rusiñol y Rubén Darío. Reproduce párrafos de la crítica de Miguel de Unamuno al libro La ciudad de las ciudades del chileno Vicuña Subercaseaux."
A64,Alfonso Daudet,Nombre real,Francia,m,13-06-1840,16-12-1897,"Escritor, dramaturgo, poeta, novelista, autobiógrafo, guionista, prosista, escritor de cuentos",,,R14,La embustera,14-16,Republicación,Literario (Discurso centrado en la creación estética y la ficción),Narrativo,Cuento,Sí,7,Con su nombre real,1,R14,"Prisma: revista ilustrada, de artes, letras, etc. (Año II, n.° 12)","Hernández, Julio S, 1853-1906, dir.",16/04/1906,Lima: [s. n.],"Presenta un artículo que examina el libro El proceso de Jesús escrito por el legalista italiano Juan Rosadi, cuyo tenor es el procedimiento judiciario aplicado a Jesús según las doctrinas legales y las prácticas judaicas y romanas de la época de su ejecución. Aborda a través de un artículo, el estudio de las teorías de la trasnformación de las especies, en el que señala que el transformismo hace visible la evolución, pero no su causa primera ni su finalidad. Recoge varios poemas entre ellos uno de José Martí. Se reproduce parte de la tesis de José de la Riva Agüero sobre historia de la literatura peruana."
A64,Alfonso Daudet,Nombre real,Francia,m,13-06-1840,16-12-1897,"Escritor, dramaturgo, poeta, novelista, autobiógrafo, guionista, prosista, escritor de cuentos",,,R15,El credo del amor,14-15,Republicación,Literario (Discurso centrado en la creación estética y la ficción),Narrativo,Cuento,Sí,5,Con su nombre real,1,R15,"Prisma: revista ilustrada, de artes, letras, etc. (Año II, n.° 13)","Hernández, Julio S, 1853-1906, dir.",01/05/1906,Lima: [s. n.],"Reproduce fotografías de los edificios de San Francisco de California antes del terremoto de 1906, presenta fotografías de diferentes vistas de los cincos proyectos de monumentos a San Martín seleccionados en el concurso promovido por el Supremo Gobierno. Recoge poemas y relatos de varios autores entre ellos el poema de Manuel Ascencio Segura. Se reproduce parte de la tesis de José de la Riva Agüero sobre historia de la literatura peruana."
A64,Alfonso Daudet,Nombre real,Francia,m,13-06-1840,16-12-1897,"Escritor, dramaturgo, poeta, novelista, autobiógrafo, guionista, prosista, escritor de cuentos",,,R16,La condesa Irma,10-11,Republicación,Literario (Discurso centrado en la creación estética y la ficción),Narrativo,Cuento,Sí,6,Con su nombre real,1,R16,"Prisma: revista ilustrada, de artes, letras, etc. (Año II, n.° 14)","Hernández, Julio S, 1853-1906, dir.",16/05/1906,Lima: [s. n.],"Presenta un artículo sobre la actualidad escénica en Francia. Enuncia una defensa al proyecto Liberté, Egalité et Fraternit del artista Carlos Baca Flor presentado en el concurso de premiación al mejor proyecto de monumento a San Martín. Recoge variados relatos, entre ellos los de Rubén Darío y Santiago Rusiñol. Se reproduce parte de la tesis de José de la Riva Agüero sobre historia de la literatura peruana."
